alpha,beta,airspeed,CL,CD,CY,Cl,Cm,Cn,CLa,Cma,CYb,Cnb,Clb,Clp,Cmq,Cnr,d_Surface1_pitch,d_Surface1_roll,CLb,CLp,CLq,CLr,CLdelve,CLdelva,CDa,CDb,CDp,CDq,CDr,CDdelve,CDdelva,CYa,CYp,CYq,CYr,CYdelve,CYdelva,Cla,Clq,Clr,Cldelve,Cldelva,Cmb,Cmp,Cmr,Cmdelve,Cmdelva,Cna,Cnp,Cnq,Cndelve,Cndelva
-45.0,-30.0,19.94857498845234,-0.8469930340788837,0.6846597686595243,-0.38401229372952495,0.04763208291548703,0.29953324713718954,-0.0026906539618106145,0.34197204765259304,-0.30966566464240414,0.3997185980039982,-0.00036040302831707034,-0.04683869101937884,-0.35631220458778895,-0.22894653709176893,0.0065834815065754105,0.0,0.0,-0.5868996731740445,0.027893648297951528,0.25538087919234465,-0.002083271315029106,0.0007793847072171459,-0.0007003494893257731,-1.6280353348865073,0.8546666843933899,-0.04004102336047281,-0.24738063416130043,-0.011196060021475447,-0.0007761234551257608,0.0006862368037492585,0.9307707680986067,-0.04694948888230914,0.13012194932840254,-0.013333340570959515,0.0004193079609967221,-0.0003877983669859691,-0.06853065698157859,-0.006280036395202058,-0.06601255756494877,0.00026543177249947904,-0.0003076306563190358,0.4085974115877098,-0.011017145145633876,-0.0023379696735439937,-0.0005171033812367489,0.00046115177627659767,0.0079182833982059,0.02198021295565318,0.00013919717095599516,-1.8441300103876127e-06,1.588896824031087e-06
-40.0,-30.0,19.94857498845234,-0.8046810827779424,0.5398988063409499,-0.3051116364817616,0.0412271084831734,0.264624260209753,-0.0015382862536802537,0.6364793264664359,-0.5380879533864102,0.3203411326195108,-0.006279241036642082,-0.033466399348970735,-0.3328126469890192,-0.20050608355413488,0.01349069243567403,0.0,0.0,-0.550966359970768,0.03448043206860056,0.24409681344827514,-0.006485473387167339,0.008740596906434127,-0.007472869759865578,-1.7048741063022552,0.7528740230438044,-0.008538618381278614,-0.21181890466099867,-0.028750441855461762,-0.00652425436465392,0.005345441210826456,0.878513337813076,-0.041602746278136794,0.10443043964286168,-0.013435535868285614,0.0039683064887182,-0.00355293029051414,-0.08494004049834923,-0.003962798134140646,-0.06624084519466887,0.00251669185562631,-0.0031278096796145526,0.4298158075417252,0.02455569826751414,-0.022707518287866508,-0.00521438315031719,0.004382096550297722,0.01974976129671831,0.008938656606451142,0.004307625957389985,-0.00019532277538383429,0.0002002946441735249
-35.0,-30.0,19.94857498845234,-0.7306313769818289,0.39042595894900195,-0.22954271674958993,0.03126622569164873,0.19717931884919312,5.222108379744731e-05,1.0502990664984728,-0.9844885407246938,0.22660544289399553,-0.0018873042525402084,0.0007261049788352299,-0.3018243018448949,-0.1589594933168265,0.024264442102071886,0.0,0.0,-0.5500680266116404,0.035586985265991876,0.17142549294771556,-0.010410950993837478,0.06838639938946971,-0.05178613765399197,-1.6482473894348686,0.5938417003878386,-0.058976550863914595,-0.19269654961779908,-0.0047990250440783176,-0.035994290140599995,0.02450775373006336,0.8407745413903157,-0.03811880538811339,0.06356128894112134,-0.013370823743014786,0.025843673233556238,-0.021438618195635743,-0.14749293877187053,-0.004823800330119463,-0.06739802274061436,0.016239597180492785,-0.02340564820626246,0.478464021264994,0.039610863163995376,-0.03441570998253464,-0.0333323716472525,0.023506483671246366,0.007743130301356298,-0.008351664605598538,0.005612081443756282,-0.0027091141397936704,0.0030811705275469174
-30.0,-30.0,19.94857498845234,-0.7185213504904899,0.24561062338827921,-0.18766910820266564,0.010365703454172238,0.10065704820128804,0.003669991382604594,-1.8883412837890532,-1.2783744340881593,0.4838251796186066,-0.029373772725902466,0.0937293138565179,-0.17786145947020202,-0.10391423541110795,0.04100490149554002,0.0,0.0,0.5362572377573476,0.5494010380967704,0.6838865348755867,-0.21259197993367368,0.13156510434417834,0.004950555084639833,-1.7858669543043197,0.5227344277356876,-0.08597152628817706,-0.047005881770223204,0.013849813591608019,-0.12439803761052154,0.05946532022127533,-0.10607263508745511,0.12846569947331418,0.1825642285241338,-0.07391696467724122,0.035506912098565484,-0.006893646462083005,-0.3693977765194287,-0.0026355706104265464,-0.10774698422825021,0.005110686277093405,-0.05753375738857758,0.41278883868505795,-0.05211994935862548,0.008611892231074175,-0.09197763914655065,0.028198943921429933,0.0869946629064184,-0.04127944065183772,-0.010383981987838681,0.013645912567892401,-0.007565241331148789
-25.0,-30.0,19.94857498845234,-0.8817041120164089,0.14608988227127298,-0.18294350684725083,-0.010116721293189291,0.021582420311127618,0.005870008154483577,-0.9539273228105126,-0.32710916627359293,0.3147990570219024,0.00584934165819073,0.01882524071752592,-0.021542100445463983,-0.15775782239110006,0.05931971220716868,0.0,0.0,0.06353791719820834,-0.1209786546660189,-0.0012733645227511992,0.0065991319853257345,-0.28780736981837945,0.39848146068917367,-0.7878505690222876,0.17475188985475007,-0.12645298345161043,-0.1777805404821066,0.02475024836224632,-0.20927086044875837,0.007880586695129737,0.38467721910688835,-0.0007663454969941887,-0.018825614570088352,-0.03288476783418247,-0.08442631614630533,0.1046985144639184,-0.012365374142663088,-0.10680755695001984,-0.1749644162536674,-0.13835780388558838,0.06290138355345243,0.042893697795283306,-0.2084233179885386,0.07175719496901309,-0.04803500260908873,-0.07826613212175507,-0.05709097112044097,-0.06432025516652794,0.04170499847951305,0.07228459850209572,-0.09789889146966092
-20.0,-30.0,19.94857498845234,-0.8692742453114632,0.08908765643459346,-0.1335029048196829,-0.00023551877345424547,0.02636417006742047,-0.0008841052105960198,1.2018649257565341,0.2647577506310726,0.18139216101132452,0.018718547366459698,-0.040860001144270554,0.0352134519476543,-0.04012776682330237,0.055643509327479516,0.0,0.0,-0.29806646148038135,-0.5346827555728286,-0.49528195562502,0.12204287439245283,-0.1602009110034823,-0.5758571485261754,-0.5569876881710069,0.10044815156535593,-0.06280149239029675,-0.0734827138558959,0.00301472933421787,-0.14725179421169896,-0.03866311647342362,0.6916117309652732,-0.10590345634336742,-0.06833376928019398,-0.01574492231572231,0.0027537415654718127,-0.08966619602914029,0.2224025489937574,0.06141333749527713,-0.20505792338100082,0.17553653799454544,0.042297143190492194,-0.05890886409460689,0.012149314410138936,0.011222354560846786,0.011058515861591471,0.06469317671563223,-0.0959748191727216,-0.028136028307800758,-0.049608039842808364,-0.08051489528373691,-0.06623233674755637
-15.0,-30.0,19.94857498845234,-0.6762331704234941,0.04794374796600292,-0.07035771223228833,0.018624465831629994,0.04127593784105268,-0.006317619164625999,3.0716617387082636,0.010401917305465708,0.07792786422247514,0.008074783553313631,-0.047953008675627594,-0.3815474667343477,-0.18779064565740242,0.008431063987857425,0.0,0.0,-0.41621658184604227,-0.2213077297596612,0.2768113528186383,0.0699791778324601,0.6938266955678711,-0.10516774276625263,-0.39503584789016655,0.04996894355732404,0.03004954080722183,0.039275779728197846,-0.015533612747605747,-0.09537538543179666,-3.7274317240166194e-05,0.6976522201873882,-0.10665057568493833,0.045554349890478324,-0.01568912263920911,0.08848730157914263,-0.050725282270540815,0.11705950501483914,0.07213662558317464,-0.09603802696110653,0.03971656653740458,-0.22776290575454278,-0.0027564974625072657,0.07731898221924943,-0.012032605075694876,-0.12520173435779666,0.034391360954520424,-0.00794627535519621,0.14232173552791694,-0.020151042259357186,-0.0071483772685877025,0.038238782175996404
-10.0,-30.0,19.94857498845234,-0.37857912729203785,0.020355677031165316,-0.02045521514114939,0.023144689500972312,0.033395723230684383,-0.00497034032245187,3.5564810017989426,-0.14732809394325228,0.02150511725222942,0.0033386774268732286,-0.04024455767609763,-0.5119924198373164,-0.27792450786465084,-0.0008382663415374296,0.0,0.0,-0.26534815701490044,0.01285246298848875,0.47870278113835496,0.03320522959958422,0.8610301133099498,-0.014106265743964033,-0.23559526551395324,0.017756681677433984,0.04589597063519708,0.05061841234957476,-0.012333354981709968,-0.059786563538740116,-0.0011026498741136222,0.41856376377832577,-0.08706409952747893,0.046672548488563316,-0.009685142849462487,0.06512126607764,-0.04697308017975134,0.009020233081088534,0.01093216817240466,-0.04167162619787218,0.008135292301323578,-0.2887406992970726,0.01146252198491571,0.017159115861796925,-0.005072659492324988,-0.1851367924180217,0.00957811915998665,0.029331834402220595,0.12069044872012631,0.0048017824946311955,0.00383496970583318,0.03688301709001292
-5.0,-30.0,19.94857498845234,-0.06527625547059136,0.007247469207317842,0.0026403112593075414,0.023656167309015996,0.01899171104482181,-0.002302445179496412,3.6407628883421475,-0.16354496328635343,-0.004090604378329436,0.002151345727413587,-0.041982112642514814,-0.5405749591257207,-0.3061763972035366,-0.001939192733716432,0.0,0.0,-0.09692555125587299,-0.048999951095403,0.5057472848530078,0.04008437242670449,0.8691716248207834,-0.004918755415836181,-0.059295842568587775,0.00026204004251137046,0.03763740097392869,0.04456140250992155,-0.004702104687880791,-0.01599538919337757,-0.0063995113265585225,0.11648009053089933,-0.08814757354407299,0.02684214182876883,-6.846058823973126e-05,0.027271336672347542,-0.04562584161103334,0.03122826969843478,0.002188261217860433,-0.004597466470220337,0.002330776518493888,-0.2950980632798228,0.007039348947188997,0.003326523885589333,-0.004950617988664554,-0.18340017609733186,-0.00697639772284811,0.02659502718661688,0.058068851610033466,0.009726419694335164,0.0048625921256322605,0.02021004635431061
0.0,-30.0,19.94857498845234,0.2733689116452447,0.011556984881641263,-0.001402047549760441,0.027162247292795417,0.0003422176972382072,0.0005114147536378002,4.10220435261361,-0.2774411283685651,0.003533787675689569,0.0005731512531641652,-0.0457551716452107,-0.593278405391747,-0.32512641676193066,-0.0014551505257323562,0.0,0.0,0.09881717378405844,-0.0955809715624631,0.5132059105747199,0.047628282047345254,0.9689880006939117,-0.0634790714408618,0.16048233932690303,0.003748180845273664,0.05075100051952962,0.03963572522732725,0.003108416523018215,0.037985093531664314,-0.0036191847417577755,-0.22189402814764286,-0.0955769537539699,0.008465548048605553,0.00908863079241132,-0.009202005435603502,-0.05014522581474691,0.03523021016583785,0.01559074838395473,0.034371301733653624,0.021314442414112515,-0.3252151095627856,-0.0009832976599998134,0.040079512996558334,-0.010172588500779926,-0.2169969112561157,0.02921218634530901,0.03949988311431758,-0.008634856457569813,0.01616262889193757,0.008045714625756557,0.003690009573517152
5.0,-30.0,19.94857498845234,0.6261877459084103,0.03539725966402137,-0.03743366167496496,0.024491969755424305,-0.025177000920183844,0.0038441023707783527,3.8616623409217503,-0.2745389538397565,0.04436862802845377,-0.0017535076481971711,-0.04953234063672535,-0.5703796218296372,-0.323753515055048,0.0012288847713197413,0.0,0.0,0.3269197248649558,0.1820642761854045,0.47202026125787044,0.05697743087970904,0.9310653915505975,0.10127533852468247,0.37398947833725615,0.029127558612911355,0.053959628340132064,0.028348695577145495,0.013103981777960922,0.0911904483932281,0.001885163820379394,-0.5953579706262345,-0.10503747001565954,-0.017454199086610236,0.017121696581800308,-0.058188619838262415,-0.05496300330217775,-0.09182311054128063,-0.032442346368235876,0.07642183968836556,-0.035679173738851114,-0.315616770483794,-0.02525711724344195,-0.04307610372101492,-0.01403523753835739,-0.2193194373112601,-0.029479295405975096,0.03207806735316199,-0.07634087022941503,0.017226991732783282,0.0060799635995954756,-0.012366317766412315
10.0,-30.0,19.94857498845234,0.9008786391853184,0.07108425459727395,-0.09739466791112696,0.019388289147282533,-0.041866324516191655,0.006661316940941155,2.4438825115713945,-0.12301526395664614,0.12966581645928194,-0.004098516313789154,-0.04053311745832227,-0.45314504527425703,-0.2574976763361551,0.006517046620578467,0.0,0.0,0.35740523506647065,0.1507956792036986,0.5089979850423764,0.06157293843406471,0.7222435230416598,0.08656557038674519,0.41700035369329846,0.055395120900736186,0.05329300963402724,0.006545371786748193,0.021751078061894163,0.1100953742905314,0.008032922862666424,-0.7587245021974232,-0.09302922735962667,-0.047794142678927426,0.02285993570090672,-0.07793358861503952,-0.04750365633887858,-0.0638613316724231,-0.02373831642408899,0.11808292301905243,-0.0278506372061915,-0.24598158103931178,-0.020105863884126305,-0.039326910982260994,-0.016866033384719235,-0.15199484443457348,-0.03001277265746184,0.02541706118209122,-0.1270071060137052,0.018055587428868165,0.004447148033878908,-0.02234710782670419
15.0,-30.0,19.94857498845234,1.068287521911094,0.10797293106006046,-0.16754935641259325,0.01190659007752589,-0.05041720286249052,0.007477383880039344,1.2387520971109593,-0.07207562992604376,0.23825145218598598,-0.010757538472930067,-0.04072397478709558,-0.2757363675647678,-0.12859537816471828,0.020980967792699957,0.0,0.0,0.31500137133199224,0.2950499660813464,0.2968369910137457,0.0934688182728948,0.4383204170679915,0.1432123434074899,0.42865337363416606,0.07805578574045009,0.024832620399115185,-0.029644851578894713,0.024661854241418226,0.10823933251199261,0.006306807632249443,-0.8054782483090099,-0.09589965003063254,-0.051035577852778985,0.022028835655666386,-0.07247543000124142,-0.04502676401664185,-0.12771570814268873,-0.07003273330421525,0.17089131814722275,-0.04416549028988163,-0.1512541252211152,-0.013641098580636083,-0.0532679884588539,-0.02364581240082977,-0.0720245585743641,-0.03461121472193259,-0.01672744469789698,-0.12584398981127504,-0.004230574084758791,-0.007876308282233875,-0.01327239945724229
20.0,-30.0,19.94857498845234,1.0788015709850525,0.14891125756793658,-0.22711133512903864,-0.009960569439138662,-0.05852711400999553,-0.0007435767698977909,-1.1901525097294476,-0.24417273261574238,0.3924393435219478,-0.03757902366143912,-0.053376998026562865,0.18476104522784254,0.12397287605087984,0.07716439328211419,0.0,0.0,-0.08439996468840703,0.6769034540153555,-0.48559584818293205,0.18823977236574957,-0.3010437396511129,0.4689942810840829,0.6041361228867848,0.1332030250680115,-0.13447045801754,0.03418032520124458,-0.013179885684939606,0.14189598343880805,-0.04315265514768418,-0.4648411850919964,-0.11862438135325333,0.06786306081575613,0.004545477685672288,0.032157740199501246,-0.07559406772638773,-0.31285384878317757,-0.10481570510628706,0.2724738801878884,-0.14862243805767714,0.09203206310410386,-0.061970697085231355,0.048301301698793146,-0.006119319386275864,0.038538649456906715,-0.05007049625924365,-0.1751933157727473,0.08630760452887558,-0.08378721700615337,-0.08340777413560009,0.09142528714728515
25.0,-30.0,19.94857498845234,0.9120828157535763,0.23772328261664932,-0.24394675656928952,-0.01915835421164296,-0.1206121588482812,-0.009870012702238331,-2.00962917498897,-1.093401793879557,0.5631053513799107,0.011726424013938586,0.05479801981606565,0.008870180063142132,0.016202632767815812,0.05555139955427256,0.0,0.0,-0.5096016409817778,-0.49046204740923494,0.07045640215915416,-0.17714586418540582,-0.3118744767816986,-0.40877247782263315,1.4629971149142962,0.41320404802575667,-0.19211679102168283,0.07030589442878289,-0.02279206528212687,0.20248666888187147,0.05006515498771396,-0.01348760581636407,0.13575420952699377,-0.0044854397677667815,0.06811178522277225,0.10087861736964324,0.11919352355645459,0.0993710113864535,0.12376268338589246,0.1843198729989541,0.11774096321034673,0.07030561948873182,-0.3812580530695212,0.178519080710887,0.023541185931158465,-0.015108141685074543,0.07346139046920287,0.030830487411821296,0.09948040947918345,0.04560014625599625,0.06411098451926665,0.08867568153978359
30.0,-30.0,19.94857498845234,0.801277457769092,0.39600927382158235,-0.2559771006483771,-0.013258616424769089,-0.2103210412953256,-0.0037195243342738925,-0.3480368401559515,-0.8264663913879655,0.46369020410917605,0.027430585208724663,0.02066360929875962,-0.23700935372589985,-0.17033959075537589,0.037606437397548896,0.0,0.0,0.002958989380070184,-0.26005380515846327,0.22128056603511367,-0.08176766421176454,0.06588432336063547,0.023522680397307757,1.9847507294146824,0.7446943908582363,-0.031244382146488513,0.0736188240787001,0.03010296790990168,0.0801126044702801,0.0588320599729548,-0.40213775612832703,0.05819085252713565,-0.06672817175677745,0.04300660300358676,-0.020832535349627302,-0.01049479208344505,-0.008501051510842812,0.005936953160432985,0.1087716746156863,-0.021470366342267278,-0.03639502977629563,-0.45315588844243165,-0.054622282862665496,-0.04646336133142937,-0.05340217150670071,-0.02905685386878989,0.0607332580010063,0.06940386096692491,-0.016530321784044916,0.009757305232730468,0.008248323060360318
35.0,-30.0,19.94857498845234,0.8182591724047078,0.5570277113496548,-0.31287982756364136,-0.01690505119469582,-0.26287805448347257,4.409512489279949e-05,0.43692902898995956,-0.4291531605635933,0.36645638298406935,0.0125386466238436,0.00382199775590272,-0.31971623703796126,-0.19444734001598013,0.014853226178131165,0.0,0.0,0.4676564160865048,-0.07743516401958646,0.18004500726107045,-0.006449533721033487,0.019388822376880405,0.015800115782481642,1.7130912868275372,0.7639535116438951,0.0013585900154876934,0.17057724621029652,0.04149654098638801,0.01132204046394402,0.008468576236427078,-0.8130662249685515,-0.020976481321358386,-0.058188389551959416,0.01592409156473677,-0.008151731606237526,-0.007062173335087945,-0.05539334555318845,0.00463755402929097,0.08701733681214552,-0.007161017066563701,-0.008604579274716662,-0.38706428324040787,-0.017276811108935572,-0.026893878465031103,-0.011612543312945573,-0.009244991190692001,0.03078888190328074,0.03241923701027688,0.008932777487035653,-0.000374446833785642,-0.00030919847079972874
