alpha,beta,airspeed,CL,CD,CY,Cl,Cm,Cn,CLa,CDa,CYa,Cla,Cma,Cna,CLb,CDb,CYb,Clb,Cmb,Cnb,CLp,CDp,CYp,Clp,Cmp,Cnp,CLq,CDq,CYq,Clq,Cmq,Cnq,CLr,CDr,CYr,Clr,Cmr,Cnr
-40.0,0.0,19.94857498845234,-0.9554158613898487,0.7437884527553633,0.0,-0.0,0.378366178161787,-0.0,0.7930110808330246,-2.076536831360831,0.0,-0.0,-0.5583727958945468,-0.0,-0.0003995861242262429,5.2460396189379896e-05,0.7241174038816933,-0.10004784284320734,0.0001129769580700234,0.006402373465979562,-5.269583087312176e-06,6.918268672507203e-07,-0.07172676849265923,-0.3653421447838561,1.6940536537606006e-06,0.02899859693462169,0.2954622906338648,-0.27426967956753356,0.0,-0.0,-0.24218645942184164,-0.0,1.96475147826666e-05,-2.5794599640642352e-06,-0.01640721586121541,-0.09040273364533956,-7.181076510562173e-06,0.003309838081397547
-35.0,0.0,19.94857498845234,-0.8738896215165648,0.5642815476302232,0.0,-0.0,0.3239463582708213,-0.0,1.076518864466099,-2.075460650923139,0.0,-0.0,-0.7572391681362304,-0.0,-0.0004031316503147169,4.8409678502630616e-05,0.5487314172510713,-0.08494917374249096,0.00012035402607183865,0.0038613433113920226,-5.333110587968508e-06,6.404214821062885e-07,-0.06520958867179229,-0.34130835066579496,1.833404981008264e-06,0.01735422262238446,0.2839660951429613,-0.22126097683162363,0.0,-0.0,-0.20687889050316952,-0.0,1.995651361467052e-05,-2.3964588425795643e-06,-0.016167783183312513,-0.0842405017988686,-7.878755122717868e-06,0.010296890596736077
-30.0,0.0,19.94857498845234,-0.758846641487647,0.3784652312197032,0.0,-0.0,0.22134242926683365,-0.0,1.6211056973017353,-2.047397336519444,0.0,-0.0,-1.6181174000058849,-0.0,-0.00038665456346666894,4.0318640245860244e-05,0.38781103150591484,-0.06145496476752612,0.0001076415839306024,-0.0007345487662657707,-5.1769308207373455e-06,5.398276163293252e-07,-0.058828020538613655,-0.3139707859441488,1.775996438943219e-06,-0.01863051465398561,0.16968394166709633,-0.21249851298930628,0.0,-0.0,-0.14437040639771223,-0.0,1.963056316131047e-05,-2.04698893717395e-06,-0.01621820546959623,-0.07719000751851272,-8.129426950760158e-06,0.0347252854408863
-25.0,0.0,19.94857498845234,-0.7796528219436585,0.2028204226498903,0.0,-0.0,0.07066612908008091,-0.0,-4.643952047771148,-1.7458694960902694,0.0,-0.0,-2.08944912881469,-0.0,-0.00039541313891786295,4.236245023152978e-05,0.33182619101498223,0.000746561979472277,6.133235668985615e-05,-0.017002102411405852,-5.00338902021884e-06,5.360363566584105e-07,0.010283630321818166,-0.13825326154589893,1.3543854479500545e-06,-0.057870455633964875,1.226237039076835,-0.11749154244255763,0.0,-0.0,-0.02183808419073154,-0.0,1.7783701530331882e-05,-1.9052507285816363e-06,-0.0442016162148884,-0.14671419083936615,-7.352238525983869e-06,0.0569404676804017
-20.0,0.0,19.94857498845234,-0.9303832227659193,0.11784162735804357,0.0,-0.0,0.010663266757427367,-0.0,0.35175620627734316,-0.7242954766432484,0.0,-0.0,0.1728357120122425,-0.0,-0.0005158665571816243,6.595199920476945e-05,0.28889774719471145,0.01564311993492447,3.6146469236007386e-05,-0.0065772465389050344,-6.098971291862205e-06,7.797352710509669e-07,0.008142384841020128,0.06899946956184982,1.054258434720932e-06,-0.08800051434170914,-0.4746966608647404,-0.15351449978570436,0.0,-0.0,-0.14981861802339896,-0.0,1.974377736440212e-05,-2.5241829905664027e-06,-0.05131994185993673,-0.24382583954912515,-6.368642640699576e-06,0.08121983850678884
-15.0,0.0,19.94857498845234,-0.7825560832811369,0.062348099854032266,0.0,-0.0,0.03799056151992321,-0.0,3.042435407206307,-0.5246449682319211,0.0,-0.0,0.19906960629201248,-0.0,-0.000487944283506381,5.2470406236407954e-05,0.16353481729671035,-0.024623791810907895,5.302136945714225e-05,0.012128375061012886,-6.686257585538937e-06,7.189973601076925e-07,-0.0715083422928726,-0.20571166984318184,1.339592646667298e-06,0.1110774412880804,-0.032041868401814846,0.023753386115333834,0.0,-0.0,-0.08871511590248322,-0.0,2.598845256742182e-05,-2.794631907293236e-06,-0.02935720524935092,-0.1716261538129859,-7.70388884588826e-06,0.024198532683532076
-10.0,0.0,19.94857498845234,-0.4516335130296969,0.025423367378145243,0.0,-0.0,0.036629320745733794,-0.0,4.209501917604824,-0.3127781524354354,0.0,-0.0,-0.1540612179402732,-0.0,-0.0003119665880342315,1.936078509536177e-05,0.04869903714921843,-0.04568127096124284,4.404751564549672e-05,0.01286509534224145,-4.65953160829563e-06,2.8917260236876993e-07,-0.10334910929521551,-0.508876876629708,1.08706138754429e-06,0.1587851969040744,0.47434597773638837,0.0534621146691248,0.0,-0.0,-0.26515320100925827,-0.0,1.9679587041580263e-05,-1.2213239176620148e-06,-0.011137165733537086,-0.06285570384010111,-6.198008845773872e-06,-0.003953096280555633
-5.0,0.0,19.94857498845234,-0.09051014270472404,0.007306186719321193,0.0,-0.0,0.020447884294765403,-0.0,4.1645673617744166,-0.08395886274646037,0.0,-0.0,-0.15843486490332992,-0.0,-9.699775219645232e-05,1.2063897543397588e-06,-0.005615453608074003,-0.046905725920410514,2.1400642532984506e-05,0.005676687977592821,-1.8866810235836391e-06,2.3465210320992283e-08,-0.0995236647539165,-0.5317886137082007,5.248009261262286e-07,0.07380310419815535,0.49867877491868434,0.04595451932000685,0.0,-0.0,-0.3039818932436316,-0.0,9.599823788376595e-06,-1.1939584989849782e-07,-0.0004974972605607171,-0.01405886418476964,-2.9871387772394762e-06,-0.002887830842041368
0.0,0.0,19.94857498845234,0.3000000000095494,0.012625093382589766,0.0,-0.0,-1.4775278997542697e-10,-0.0,4.808580255497416,0.20655395720705275,0.0,-0.0,-0.3629564889206133,-0.0,0.00014696607024427218,6.058527126612116e-06,0.002215254056278076,-0.054944001916051886,-6.482851518911757e-06,-0.001869529567745624,1.2345025051252695e-06,5.0891113185109834e-08,-0.11433374527900692,-0.6082123565064934,-1.4654162358827653e-07,-0.012431461230685859,0.5298335464226214,0.0449123509975924,0.0,-0.0,-0.33426831871516544,-0.0,-1.6361251596357679e-06,-6.74475996106469e-08,0.010492944085171572,0.038080023053399185,7.998312240612039e-07,-0.0017419241836510997
5.0,0.0,19.94857498845234,0.7117951292837947,0.04368338589716823,0.0,-0.0,-0.031830051625433245,-0.0,4.009423302444339,0.4734514331083472,0.0,-0.0,-0.2561366409298971,-0.0,0.00041038532159784095,4.013983205317719e-05,0.08604989149357135,-0.044137529187610346,-4.34821655280695e-05,-0.010212772991612853,4.63192384997589e-06,4.530489655354712e-07,-0.09921060461796445,-0.5228052093254808,-9.650950865220557e-07,-0.10053413162679282,0.44698115340152106,0.029121233034458988,0.0,-0.0,-0.304418052871918,-0.0,-1.3986637683476991e-05,-1.3680345228174094e-06,0.021409884615438503,0.09621603544725221,5.249628522737538e-06,0.0008726327059828224
