rank,camber_scale,alpha_break_factor,symmetric_drag_floor,cambered_drag_alpha_gain,symmetric_form_drag_gain,dataset,condition,model_CL,cfd_CL,rel_CL_error,model_CD,cfd_CD,rel_CD_error,max_rel_error,mean_rel_error
12,0.97,0.096,0.205,1.8,2.2,x48_10ft,cruise,0.1566969924379552,0.1559206579013886,0.0049790357930480506,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,x48_10ft,takeoff,0.19306434863574984,0.1935724233294682,0.0026247266267550614,0.026046370966002708,0.02602059475743992,0.0009906079704583505,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0038710170705866585
13,0.96,0.096,0.21,1.75,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.025921753491473812,0.02602059475743992,0.0037985782756886424,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023520693702130408,0.02344952915434802,0.0030347964478933728,0.012254102926460616,0.003890556706387117
14,0.96,0.096,0.2,1.75,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.025921753491473812,0.02602059475743992,0.0037985782756886424,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023375455360556033,0.02344952915434802,0.0031588606024634445,0.012254102926460616,0.0039060647257083757
15,0.96,0.096,0.215,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023593312872917598,0.02344952915434802,0.006131624973071855,0.012254102926460616,0.003926777191272518
16,0.96,0.096,0.195,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003942285210593777
16,0.96,0.096,0.195,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.003942285210593777
